"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","geneSymbols"
"GO:0006910","phagocytosis, recognition","6/57","98/18862",4.93701385271934e-07,2.65018903613974e-05,1.91036451816803e-05,"3502/28442/722/3494/721/3537",6,"IGHG3/IGHV3-23/C4BPA/IGHA2/C4B/IGLC1"
"GO:0010951","negative regulation of endopeptidase activity","8/57","245/18862",6.89749435285445e-07,3.56016823905026e-05,2.56631470051548e-05,"5265/183/3273/720/727/721/5345/3700",8,"SERPINA1/AGT/HRG/C4A/C5/C4B/SERPINF2/ITIH4"
"GO:0042742","defense response to bacterium","9/57","344/18862",8.36986043850163e-07,4.16013063276637e-05,2.99879210252749e-05,"3240/3502/28442/3512/2147/3494/3537/6280/28912",9,"HP/IGHG3/IGHV3-23/JCHAIN/F2/IGHA2/IGLC1/S100A9/IGKV3-20"
"GO:0045861","negative regulation of proteolysis","9/57","346/18862",8.78286213841473e-07,4.20950035348306e-05,3.03437981398614e-05,"5265/2147/183/3273/720/727/721/5345/3700",9,"SERPINA1/F2/AGT/HRG/C4A/C5/C4B/SERPINF2/ITIH4"
"GO:0051346","negative regulation of hydrolase activity","10/57","456/18862",9.65285886160695e-07,4.42303646102528e-05,3.18830536330868e-05,"5265/183/3273/335/720/727/721/5345/345/3700",10,"SERPINA1/AGT/HRG/APOA1/C4A/C5/C4B/SERPINF2/APOC3/ITIH4"
"GO:0010466","negative regulation of peptidase activity","8/57","257/18862",9.887562878596e-07,4.42303646102528e-05,3.18830536330868e-05,"5265/183/3273/720/727/721/5345/3700",8,"SERPINA1/AGT/HRG/C4A/C5/C4B/SERPINF2/ITIH4"
"GO:0003014","renal system process","6/57","118/18862",1.47541763474078e-06,6.35334972028791e-05,4.57975401438904e-05,"3512/183/3494/5345/3043/28912",6,"JCHAIN/AGT/IGHA2/SERPINF2/HBB/IGKV3-20"
"GO:0002429","immune response-activating cell surface receptor signaling pathway","10/57","481/18862",1.56229911154621e-06,6.35334972028791e-05,4.57975401438904e-05,"3502/28299/28442/28896/3494/28796/28793/28903/3537/28912",10,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/IGHA2/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/IGKV3-20"
"GO:0002757","immune response-activating signal transduction","10/57","481/18862",1.56229911154621e-06,6.35334972028791e-05,4.57975401438904e-05,"3502/28299/28442/28896/3494/28796/28793/28903/3537/28912",10,"IGHG3/IGKV1-5/IGHV3-23/IGKV1D-33/IGHA2/IGLV3-21/IGLV3-25/IGKV1D-12/IGLC1/IGKV3-20"
"GO:0034368","protein-lipid complex remodeling","4/57","33/18862",2.87218829770602e-06,0.000110127905586328,7.93846931005062e-05,"183/335/345/348",4,"AGT/APOA1/APOC3/APOE"
"GO:0034369","plasma lipoprotein particle remodeling","4/57","33/18862",2.87218829770602e-06,0.000110127905586328,7.93846931005062e-05,"183/335/345/348",4,"AGT/APOA1/APOC3/APOE"
"GO:0051918","negative regulation of fibrinolysis","3/57","10/18862",3.09299388576642e-06,0.000115299938741626,8.31129058777584e-05,"2147/3273/5345",3,"F2/HRG/SERPINF2"
"GO:0034367","protein-containing complex remodeling","4/57","35/18862",3.6586825177607e-06,0.000132701403752293,9.56565927118658e-05,"183/335/345/348",4,"AGT/APOA1/APOC3/APOE"
"GO:0034378","chylomicron assembly","3/57","11/18862",4.24373997557856e-06,0.00014987102755859,0.000108033158935089,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0052548","regulation of endopeptidase activity","9/57","426/18862",4.84011702937806e-06,0.000166549668036548,0.000120055804318446,"5265/183/3273/720/727/721/5345/3700/6280",9,"SERPINA1/AGT/HRG/C4A/C5/C4B/SERPINF2/ITIH4/S100A9"
"GO:0034372","very-low-density lipoprotein particle remodeling","3/57","12/18862",5.6461784949155e-06,0.000189429288504415,0.000136548369390193,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0033700","phospholipid efflux","3/57","13/18862",7.32428360320986e-06,0.000239736307207503,0.000172811723526312,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0052547","regulation of peptidase activity","9/57","455/18862",8.23125310023241e-06,0.000263008134774093,0.000189587007496581,"5265/183/3273/720/727/721/5345/3700/6280",9,"SERPINA1/AGT/HRG/C4A/C5/C4B/SERPINF2/ITIH4/S100A9"
"GO:0010872","regulation of cholesterol esterification","3/57","14/18862",9.30181707079247e-06,0.000271370402369641,0.000195614871580281,"183/335/348",3,"AGT/APOA1/APOE"
"GO:0032488","Cdc42 protein signal transduction","3/57","14/18862",9.30181707079247e-06,0.000271370402369641,0.000195614871580281,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0034370","triglyceride-rich lipoprotein particle remodeling","3/57","14/18862",9.30181707079247e-06,0.000271370402369641,0.000195614871580281,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0051917","regulation of fibrinolysis","3/57","14/18862",9.30181707079247e-06,0.000271370402369641,0.000195614871580281,"2147/3273/5345",3,"F2/HRG/SERPINF2"
"GO:0030195","negative regulation of blood coagulation","4/57","48/18862",1.32050168637684e-05,0.000377045375131429,0.000271789708797383,"2147/3273/5345/348",4,"F2/HRG/SERPINF2/APOE"
"GO:0098869","cellular oxidant detoxification","5/57","102/18862",1.40336728679619e-05,0.000385061127444771,0.000277567790510428,"3240/3043/3040/348/6280",5,"HP/HBB/HBA2/APOE/S100A9"
"GO:0034384","high-density lipoprotein particle clearance","3/57","16/18862",1.42491614523171e-05,0.000385061127444771,0.000277567790510428,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:1900047","negative regulation of hemostasis","4/57","49/18862",1.43465397706696e-05,0.000385061127444771,0.000277567790510428,"2147/3273/5345/348",4,"F2/HRG/SERPINF2/APOE"
"GO:0050819","negative regulation of coagulation","4/57","52/18862",1.820824099336e-05,0.000469912681020944,0.000338732256536393,"2147/3273/5345/348",4,"F2/HRG/SERPINF2/APOE"
"GO:0071827","plasma lipoprotein particle organization","4/57","52/18862",1.820824099336e-05,0.000469912681020944,0.000338732256536393,"183/335/345/348",4,"AGT/APOA1/APOC3/APOE"
"GO:0034375","high-density lipoprotein particle remodeling","3/57","18/18862",2.0674103723195e-05,0.000495440128509422,0.000357133483489026,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0034433","steroid esterification","3/57","18/18862",2.0674103723195e-05,0.000495440128509422,0.000357133483489026,"183/335/348",3,"AGT/APOA1/APOE"
"GO:0034434","sterol esterification","3/57","18/18862",2.0674103723195e-05,0.000495440128509422,0.000357133483489026,"183/335/348",3,"AGT/APOA1/APOE"
"GO:0034435","cholesterol esterification","3/57","18/18862",2.0674103723195e-05,0.000495440128509422,0.000357133483489026,"183/335/348",3,"AGT/APOA1/APOE"
"GO:0002440","production of molecular mediator of immune response","7/57","286/18862",2.36719187607678e-05,0.000557328332928953,0.000401745029384036,"28299/28896/335/28796/28793/28903/28912",7,"IGKV1-5/IGKV1D-33/APOA1/IGLV3-21/IGLV3-25/IGKV1D-12/IGKV3-20"
"GO:0071825","protein-lipid complex subunit organization","4/57","56/18862",2.44820865706932e-05,0.000566464830652936,0.000408330990171816,"183/335/345/348",4,"AGT/APOA1/APOC3/APOE"
"GO:1990748","cellular detoxification","5/57","115/18862",2.50987360877939e-05,0.000570889895420669,0.000411520757621456,"3240/3043/3040/348/6280",5,"HP/HBB/HBA2/APOE/S100A9"
"GO:0002377","immunoglobulin production","6/57","198/18862",2.88337664912471e-05,0.000644915243854227,0.0004648812527273,"28299/28896/28796/28793/28903/28912",6,"IGKV1-5/IGKV1D-33/IGLV3-21/IGLV3-25/IGKV1D-12/IGKV3-20"
"GO:0097237","cellular response to toxic substance","5/57","122/18862",3.33586953463097e-05,0.000733891297618814,0.000529018826975991,"3240/3043/3040/348/6280",5,"HP/HBB/HBA2/APOE/S100A9"
"GO:0030194","positive regulation of blood coagulation","3/57","23/18862",4.43909970243869e-05,0.000945598698519481,0.000681626169848147,"2147/3273/5345",3,"F2/HRG/SERPINF2"
"GO:1900048","positive regulation of hemostasis","3/57","23/18862",4.43909970243869e-05,0.000945598698519481,0.000681626169848147,"2147/3273/5345",3,"F2/HRG/SERPINF2"
"GO:0030193","regulation of blood coagulation","4/57","66/18862",4.69741329924846e-05,0.000984988851186161,0.000710020200988377,"2147/3273/5345/348",4,"F2/HRG/SERPINF2/APOE"
"GO:1900046","regulation of hemostasis","4/57","67/18862",4.9844655783208e-05,0.00101398798490881,0.000730923961197897,"2147/3273/5345/348",4,"F2/HRG/SERPINF2/APOE"
"GO:0003094","glomerular filtration","3/57","24/18862",5.06238412733908e-05,0.00101398798490881,0.000730923961197897,"3512/3494/28912",3,"JCHAIN/IGHA2/IGKV3-20"
"GO:0050820","positive regulation of coagulation","3/57","24/18862",5.06238412733908e-05,0.00101398798490881,0.000730923961197897,"2147/3273/5345",3,"F2/HRG/SERPINF2"
"GO:0042730","fibrinolysis","3/57","25/18862",5.74038167411565e-05,0.00111646263864684,0.0008047918777288,"2147/3273/5345",3,"F2/HRG/SERPINF2"
"GO:0097205","renal filtration","3/57","25/18862",5.74038167411565e-05,0.00111646263864684,0.0008047918777288,"3512/3494/28912",3,"JCHAIN/IGHA2/IGKV3-20"
"GO:0098754","detoxification","5/57","138/18862",6.01298554122505e-05,0.00115277522804629,0.00083096747554674,"3240/3043/3040/348/6280",5,"HP/HBB/HBA2/APOE/S100A9"
"GO:0050818","regulation of coagulation","4/57","71/18862",6.26215409408048e-05,0.00118363532313465,0.000853212692729423,"2147/3273/5345/348",4,"F2/HRG/SERPINF2/APOE"
"GO:0008037","cell recognition","6/57","232/18862",6.97443135705618e-05,0.00129995651127353,0.000937061756891028,"3502/28442/722/3494/721/3537",6,"IGHG3/IGHV3-23/C4BPA/IGHA2/C4B/IGLC1"
"GO:0007596","blood coagulation","7/57","342/18862",7.35412784653167e-05,0.00133583633565989,0.000962925400008973,"5265/2147/3273/6288/5345/3043/348",7,"SERPINA1/F2/HRG/SAA1/SERPINF2/HBB/APOE"
"GO:0061045","negative regulation of wound healing","4/57","74/18862",7.36601258113502e-05,0.00133583633565989,0.000962925400008973,"2147/3273/5345/348",4,"F2/HRG/SERPINF2/APOE"
"GO:0007599","hemostasis","7/57","346/18862",7.90949604389216e-05,0.00141527249212044,0.0010201862265736,"5265/2147/3273/6288/5345/3043/348",7,"SERPINA1/F2/HRG/SAA1/SERPINF2/HBB/APOE"
"GO:0050817","coagulation","7/57","347/18862",8.05356611907606e-05,0.00142209022786843,0.00102510072900705,"5265/2147/3273/6288/5345/3043/348",7,"SERPINA1/F2/HRG/SAA1/SERPINF2/HBB/APOE"
"GO:0045940","positive regulation of steroid metabolic process","3/57","29/18862",9.04181929919037e-05,0.00157585993500175,0.00113594421544169,"183/335/348",3,"AGT/APOA1/APOE"
"GO:0030168","platelet activation","5/57","157/18862",0.000110703248019657,0.0018349415163754,0.00132270080284649,"2147/3273/6288/3043/348",5,"F2/HRG/SAA1/HBB/APOE"
"GO:0019835","cytolysis","3/57","31/18862",0.000110752803894491,0.0018349415163754,0.00132270080284649,"2147/3273/727",3,"F2/HRG/C5"
"GO:0034377","plasma lipoprotein particle assembly","3/57","31/18862",0.000110752803894491,0.0018349415163754,0.00132270080284649,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0042744","hydrogen peroxide catabolic process","3/57","31/18862",0.000110752803894491,0.0018349415163754,0.00132270080284649,"3240/3043/3040",3,"HP/HBB/HBA2"
"GO:0010543","regulation of platelet activation","3/57","34/18862",0.000146495395927573,0.00239752221140004,0.00172823194938947,"2147/3273/348",3,"F2/HRG/APOE"
"GO:1903035","negative regulation of response to wounding","4/57","90/18862",0.00015781338093553,0.00255163321946362,0.00183932145947688,"2147/3273/5345/348",4,"F2/HRG/SERPINF2/APOE"
"GO:0065005","protein-lipid complex assembly","3/57","35/18862",0.000159886337809743,0.00255437458738899,0.00184129754946308,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0032102","negative regulation of response to external stimulus","7/57","394/18862",0.000176930117565841,0.00279341432674539,0.00201360715842734,"2147/3273/335/727/6288/5345/348",7,"F2/HRG/APOA1/C5/SAA1/SERPINF2/APOE"
"GO:0072593","reactive oxygen species metabolic process","6/57","281/18862",0.000198822923089157,0.00310256235797265,0.00223645368811426,"3240/2147/183/3043/3040/1191",6,"HP/F2/AGT/HBB/HBA2/CLU"
"GO:0090207","regulation of triglyceride metabolic process","3/57","39/18862",0.000221349531953051,0.00341438013656316,0.00246122468076049,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0055090","acylglycerol homeostasis","3/57","40/18862",0.000238784798693051,0.00360055280725926,0.00259542554700075,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0070328","triglyceride homeostasis","3/57","40/18862",0.000238784798693051,0.00360055280725926,0.00259542554700075,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0097006","regulation of plasma lipoprotein particle levels","4/57","101/18862",0.000246031320386301,0.0036282860654771,0.00261541681243506,"183/335/345/348",4,"AGT/APOA1/APOC3/APOE"
"GO:2000379","positive regulation of reactive oxygen species metabolic process","4/57","101/18862",0.000246031320386301,0.0036282860654771,0.00261541681243506,"2147/183/3043/1191",4,"F2/AGT/HBB/CLU"
"GO:2000377","regulation of reactive oxygen species metabolic process","5/57","192/18862",0.000282795064203226,0.00412511930609488,0.00297355450804078,"3240/2147/183/3043/1191",5,"HP/F2/AGT/HBB/CLU"
"GO:0030301","cholesterol transport","4/57","109/18862",0.000329282612660428,0.00475158350742252,0.00342513549558498,"335/345/1191/348",4,"APOA1/APOC3/CLU/APOE"
"GO:0009896","positive regulation of catabolic process","7/57","450/18862",0.000396365100441294,0.00544368480359265,0.00392403038238422,"722/335/23072/53840/1191/348/23112",7,"C4BPA/APOA1/HECW1/TRIM34/CLU/APOE/TNRC6B"
"GO:0034447","very-low-density lipoprotein particle clearance","2/57","10/18862",0.000397526908161013,0.00544368480359265,0.00392403038238422,"345/348",2,"APOC3/APOE"
"GO:0035376","sterol import","2/57","10/18862",0.000397526908161013,0.00544368480359265,0.00392403038238422,"335/345",2,"APOA1/APOC3"
"GO:0070508","cholesterol import","2/57","10/18862",0.000397526908161013,0.00544368480359265,0.00392403038238422,"335/345",2,"APOA1/APOC3"
"GO:0090209","negative regulation of triglyceride metabolic process","2/57","10/18862",0.000397526908161013,0.00544368480359265,0.00392403038238422,"345/348",2,"APOC3/APOE"
"GO:0008228","opsonization","2/57","11/18862",0.000484923167757777,0.00650766891130937,0.00469099359125681,"722/721",2,"C4BPA/C4B"
"GO:2000049","positive regulation of cell-cell adhesion mediated by cadherin","2/57","11/18862",0.000484923167757777,0.00650766891130937,0.00469099359125681,"201627/5345",2,"DENND6A/SERPINF2"
"GO:0015918","sterol transport","4/57","122/18862",0.000504974248634727,0.00670965783829509,0.00483659546112886,"335/345/1191/348",4,"APOA1/APOC3/CLU/APOE"
"GO:0006911","phagocytosis, engulfment","4/57","126/18862",0.000570319178827697,0.00745740491676593,0.00537560210095529,"3502/28442/3494/3537",4,"IGHG3/IGHV3-23/IGHA2/IGLC1"
"GO:0000302","response to reactive oxygen species","5/57","224/18862",0.000572364162762214,0.00745740491676593,0.00537560210095529,"3240/3043/3040/2081/348",5,"HP/HBB/HBA2/ERN1/APOE"
"GO:1905907","negative regulation of amyloid fibril formation","2/57","12/18862",0.000580778565610348,0.00749427726008738,0.0054021811922663,"1191/348",2,"CLU/APOE"
"GO:0042743","hydrogen peroxide metabolic process","3/57","56/18862",0.000647400622163001,0.00827439652326426,0.00596452302524108,"3240/3043/3040",3,"HP/HBB/HBA2"
"GO:0061041","regulation of wound healing","4/57","131/18862",0.000660191176383966,0.00835826942176681,0.00602498203671166,"2147/3273/5345/348",4,"F2/HRG/SERPINF2/APOE"
"GO:2001140","positive regulation of phospholipid transport","2/57","13/18862",0.000685042980520738,0.00859184747531617,0.0061933546394349,"335/348",2,"APOA1/APOE"
"GO:0031638","zymogen activation","3/57","58/18862",0.000717567166854962,0.0088485194685013,0.00637837429724112,"3240/3250/5345",3,"HP/HPR/SERPINF2"
"GO:0050853","B cell receptor signaling pathway","4/57","134/18862",0.000718694949379018,0.0088485194685013,0.00637837429724112,"3502/28442/3494/3537",4,"IGHG3/IGHV3-23/IGHA2/IGLC1"
"GO:0042542","response to hydrogen peroxide","4/57","135/18862",0.000738986252146869,0.00893441036379368,0.00644028796323351,"3240/3043/3040/2081",4,"HP/HBB/HBA2/ERN1"
"GO:0099024","plasma membrane invagination","4/57","135/18862",0.000738986252146869,0.00893441036379368,0.00644028796323351,"3502/28442/3494/3537",4,"IGHG3/IGHV3-23/IGHA2/IGLC1"
"GO:0090303","positive regulation of wound healing","3/57","59/18862",0.000754393982671113,0.00903925647093424,0.00651586532025144,"2147/3273/5345",3,"F2/HRG/SERPINF2"
"GO:0009636","response to toxic substance","5/57","239/18862",0.000766925519571583,0.00910808891385013,0.0065654825569286,"3240/3043/3040/348/6280",5,"HP/HBB/HBA2/APOE/S100A9"
"GO:0010896","regulation of triglyceride catabolic process","2/57","14/18862",0.000797666507762395,0.00930842133406203,0.00670989034904934,"335/345",2,"APOA1/APOC3"
"GO:2001138","regulation of phospholipid transport","2/57","14/18862",0.000797666507762395,0.00930842133406203,0.00670989034904934,"335/348",2,"APOA1/APOE"
"GO:0019731","antibacterial humoral response","3/57","61/18862",0.000831610749662725,0.00962087608661532,0.0069351204985485,"3512/3494/28912",3,"JCHAIN/IGHA2/IGKV3-20"
"GO:0010324","membrane invagination","4/57","143/18862",0.000916178616629946,0.0103593317058297,0.00746742947498431,"3502/28442/3494/3537",4,"IGHG3/IGHV3-23/IGHA2/IGLC1"
"GO:0015671","oxygen transport","2/57","15/18862",0.000918599458266568,0.0103593317058297,0.00746742947498431,"3043/3040",2,"HBB/HBA2"
"GO:1905906","regulation of amyloid fibril formation","2/57","15/18862",0.000918599458266568,0.0103593317058297,0.00746742947498431,"1191/348",2,"CLU/APOE"
"GO:0033344","cholesterol efflux","3/57","64/18862",0.000956567060301631,0.0106976082910399,0.00771127305629122,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0034381","plasma lipoprotein particle clearance","3/57","65/18862",0.00100071257900532,0.0110988122398772,0.00800047725189985,"335/345/348",3,"APOA1/APOC3/APOE"
"GO:0034380","high-density lipoprotein particle assembly","2/57","16/18862",0.00104779235781146,0.0114320109283169,0.00824066047778119,"335/348",2,"APOA1/APOE"
"GO:0060263","regulation of respiratory burst","2/57","16/18862",0.00104779235781146,0.0114320109283169,0.00824066047778119,"3512/3494",2,"JCHAIN/IGHA2"
"GO:0050766","positive regulation of phagocytosis","3/57","67/18862",0.00109282950984301,0.0116535175697965,0.00840033151356421,"335/720/721",3,"APOA1/C4A/C4B"
